date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:29	64428/64428	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:27%20GMT	http://www.necbdc.org.in/?qt-news1=0	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/indexeee8.html	(from http://www.necbdc.org.in/)
00:35:30	63580/63580	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:27%20GMT	http://www.necbdc.org.in/?qt-news1=1	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/index97c1.html	(from http://www.necbdc.org.in/)
00:35:31	37102/37102	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:30%20GMT	http://www.necbdc.org.in/article/jobs-bamboo-assistant-deo-bamboo-expert	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article/jobs-bamboo-assistant-deo-bamboo-expert.html	(from http://www.necbdc.org.in/)
00:35:33	41089/41089	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:30%20GMT	http://www.necbdc.org.in/article/promote-bamboo-sector-jk-govt-signs-pact-necbdc	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article/promote-bamboo-sector-jk-govt-signs-pact-necbdc.html	(from http://www.necbdc.org.in/)
00:35:35	41052/41052	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:32%20GMT	http://www.necbdc.org.in/article/government-launches-22-bamboo-clusters-9-states	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article/government-launches-22-bamboo-clusters-9-states.html	(from http://www.necbdc.org.in/)
00:35:36	37724/37724	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:33%20GMT	http://www.necbdc.org.in/article/bamboo-sanitiser-dispensers-made-arunachal-pradesh	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article/bamboo-sanitiser-dispensers-made-arunachal-pradesh.html	(from http://www.necbdc.org.in/)
00:35:37	39065/39065	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Mar%202022%2019:05:35%20GMT	http://www.necbdc.org.in/article/bamboo-shoot-processing-training-unit-launched	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/article/bamboo-shoot-processing-training-unit-launched.html	(from http://www.necbdc.org.in/)
00:35:38	8049/8049	---M--	200	added ('OK')	image/jpeg	etag:%221f71-56b830edff780%22	http://www.necbdc.org.in/sites/default/files/imageblock/consultancy.jpg	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/imageblock/consultancy.jpg	(from http://www.necbdc.org.in/)
00:35:39	12937/12937	---M--	200	added ('OK')	image/jpeg	etag:%223289-56b830edff780%22	http://www.necbdc.org.in/sites/default/files/imageblock/promotion.jpg	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/imageblock/promotion.jpg	(from http://www.necbdc.org.in/)
00:35:40	9677/9677	---M--	200	added ('OK')	image/jpeg	etag:%2225cd-56b830edff780%22	http://www.necbdc.org.in/sites/default/files/imageblock/training.jpg	E:/httrack/Projects/Smart%20India%20Hackthon/SIH/www.necbdc.org.in/sites/default/files/imageblock/training.jpg	(from http://www.necbdc.org.in/)
